"","X","YEAR","QUARTER","EDUCATION","TAX","UNEMPLOYMENT","CPI2000","CPI2005","GDPGROWTH","STAGE1","STAGE2","EU","EUROZONE","SCHENGEN"
"34",34,2004,"Q2",19.785511,20.658,11.710000038147,113.966666666667,93.5,2.670978,"0","0","1","0","0"
"35",35,2004,"Q3",19.785511,20.658,11.710000038147,115.2,94.4666666666667,0.870942,"0","0","1","0","0"
"36",36,2004,"Q4",19.785511,20.658,11.710000038147,116.5,95.5666666666667,2.809739,"0","0","1","0","0"
"37",37,2005,"Q1",20.293005,19.395,10.0299997329712,118.566666666667,97.2,2.652228,"0","0","1","0","0"
"38",38,2005,"Q2",20.293005,19.395,10.0299997329712,121.433333333333,99.5666666666667,1.887778,"0","0","1","0","0"
"39",39,2005,"Q3",20.293005,19.395,10.0299997329712,122.633333333333,100.633333333333,4.952105,"0","0","1","0","0"
"40",40,2005,"Q4",20.293005,19.395,10.0299997329712,125.066666666667,102.566666666667,3.382929,"0","0","1","0","0"
"41",41,2006,"Q1",20.919746,19.566,7.03000020980835,126.833333333333,104.033333333333,0.309793,"0","0","1","0","0"
"42",42,2006,"Q2",20.919746,19.566,7.03000020980835,129.1,105.866666666667,4.286447,"0","0","1","0","0"
"43",43,2006,"Q3",20.919746,19.566,7.03000020980835,130.7,107.2,3.000204,"0","0","1","0","0"
"44",44,2006,"Q4",20.919746,19.566,7.03000020980835,132.9,109,4.280208,"0","0","1","0","0"
"45",45,2007,"Q1",22.18199,20.259,6.05000019073486,136.5,111.966666666667,1.737393,"0","0","1","0","0"
"46",46,2007,"Q2",22.18199,20.259,6.05000019073486,140.233333333333,115,1.949781,"0","0","1","0","0"
"47",47,2007,"Q3",22.18199,20.259,6.05000019073486,144.2,118.3,2.479269,"0","0","1","0","0"
"48",48,2007,"Q4",22.18199,20.259,6.05000019073486,151.033333333333,123.9,-0.593812,"0","0","1","0","0"
"49",49,2008,"Q1",24.822483,21.647,7.73999977111816,158.866666666667,130.366666666667,-0.775047,"0","0","1","0","1"
"50",50,2008,"Q2",24.822483,21.647,7.73999977111816,165.033333333333,135.366666666667,-1.980053,"0","0","1","0","1"
"51",51,2008,"Q3",24.822483,21.647,7.73999977111816,166.933333333333,136.9,-3.87441,"0","0","1","0","1"
"52",52,2008,"Q4",24.822483,21.647,7.73999977111816,169.233333333333,138.8,-2.685691,"0","0","1","0","1"
"53",53,2009,"Q1",25.846195,19.267,17.5100002288818,173.533333333333,142.333333333333,-3.146793,"0","0","1","0","1"
"54",54,2009,"Q2",25.846195,19.267,17.5100002288818,172.866666666667,141.766666666667,-6.316114,"0","0","1","0","1"
"55",55,2009,"Q3",25.846195,19.267,17.5100002288818,169.566666666667,139.1,-5.233023,"0","0","1","0","1"
"56",56,2009,"Q4",25.846195,19.267,17.5100002288818,167.4,137.333333333333,0.429598,"0","0","1","0","1"
"57",57,2010,"Q1",26.946114,22.16,19.4799995422363,167,137,-0.324572,"0","0","1","0","1"
"58",58,2010,"Q2",26.946114,22.16,19.4799995422363,169.166666666667,138.733333333333,-0.587157,"0","0","1","0","1"
"59",59,2010,"Q3",26.946114,22.16,19.4799995422363,169.366666666667,138.933333333333,-0.21795,"0","0","1","0","1"
"60",60,2010,"Q4",26.946114,22.16,19.4799995422363,170.433333333333,139.766666666667,1.604763,"0","0","1","0","1"
"61",61,2011,"Q1",27.69327,20.22,16.2099990844727,173.633333333333,142.433333333333,1.351513,"0","0","1","0","1"
"62",62,2011,"Q2",27.69327,20.22,16.2099990844727,177.2,145.366666666667,3.437448,"0","0","1","0","1"
"63",63,2011,"Q3",27.69327,20.22,16.2099990844727,177.033333333333,145.233333333333,2.089541,"0","0","1","0","1"
"64",64,2011,"Q4",27.69327,20.22,16.2099990844727,177.6,145.7,0.142678,"0","0","1","0","1"
"65",65,2012,"Q1",29.227177,20.249,15.0500001907349,179.6,147.333333333333,0.359938,"0","0","1","0","1"
"66",66,2012,"Q2",29.227177,20.249,15.0500001907349,181.266666666667,148.666666666667,0.906819,"0","0","1","0","1"
"67",67,2012,"Q3",29.227177,20.249,15.0500001907349,180.133333333333,147.766666666667,1.500531,"0","0","1","0","1"
"68",68,2012,"Q4",29.227177,20.249,15.0500001907349,180.433333333333,148,0.650754,"0","0","1","0","1"
"69",69,2013,"Q1",31.011995,20.324,11.8699998855591,180.266666666667,147.9,1.025343,"0","0","1","0","1"
"70",70,2013,"Q2",31.011995,20.324,11.8699998855591,181.1,148.566666666667,-0.390181,"0","0","1","0","1"
"71",71,2013,"Q3",31.011995,20.324,11.8699998855591,179.966666666667,147.633333333333,1.279913,"0","0","1","0","1"
"72",72,2013,"Q4",31.011995,20.324,11.8699998855591,179.9,147.566666666667,0.589124,"0","0","1","0","1"
"73",73,2014,"Q1",30.230137,20.526,10.8500003814697,181,148.466666666667,0.467112,"0","0","1","1","1"
"74",74,2014,"Q2",30.230137,20.526,10.8500003814697,182.3,149.5,0.310631,"0","0","1","1","1"
"75",75,2014,"Q3",30.230137,20.526,10.8500003814697,181.466666666667,148.833333333333,0.260848,"0","0","1","1","1"
"76",76,2014,"Q4",30.230137,20.526,10.8500003814697,180.933333333333,148.433333333333,0.666401,"0","0","1","1","1"
"77",77,2015,"Q1",31.591949,20.433,9.86999988555908,180.966666666667,148.466666666667,1.013874,"0","0","1","1","1"
"78",78,2015,"Q2",31.591949,20.433,9.86999988555908,183.733333333333,150.7,0.928264,"0","0","1","1","1"
"79",79,2015,"Q3",31.591949,20.433,9.86999988555908,181.233333333333,148.633333333333,0.92372,"0","0","1","1","1"
"80",80,2015,"Q4",31.591949,20.433,9.86999988555908,181.1,148.533333333333,-0.399012,"0","0","1","1","1"
